,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
47,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,1E16f7KcZmuXuhlenRwA2m,Saibo - Lofi Flip,VIBIE,69,2021-06-18,0.349,0.116,180.203,0.0761,0.965,0.00548,0.323,146646,-12.524,0.2,1,7
48,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,04AMfp0dmu8a8v4fsaXggU,"Tu Te Main (From ""Golak Bugni Bank Te Batua"" Soundtrack)",Bir Singh,39,2018-04-08,0.481,0.13,161.717,0.0406,0.475,0,0.423,341882,-9.193,0.549,1,0
49,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,7my5JwT3XapDN8GypYkMeD,Tareyaan De Des,Prabh Gill,46,2017-12-18,0.702,0.174,90.025,0.0402,0.31,0,0.559,246667,-5.862,0.381,0,10
50,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,6vB36LrsshvJ52Z39S3zg2,Chaap Tilak,Asees Kaur,34,2016-10-14,0.437,0.112,167.989,0.0499,0.452,0,0.408,326429,-9.194,0.493,1,8
51,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5yvXCtOc2m4bSxG24lumPb,Piya Ghar Aavenge,Kailash Kher,52,2015-03-30,0.28,0.0616,111.381,0.0275,0.76,0.00582,0.516,342027,-11.833,0.175,0,4
52,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0PrjG8HQS9EsbXdCh4tngE,Mangalayam,A.R. Rahman,46,2002-10-18,0.333,0.061,125.896,0.0625,0.462,0,0.743,104281,-16.076,0.822,0,7
53,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2jMsqX0TfKTi24dZSSPjbo,Kaise Bataaoon,KK,50,2013-02-25,0.502,0.104,107.495,0.0534,0.698,3.51e-06,0.67,281611,-7.155,0.386,1,11
54,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4ViufFTGJb3TByFwUnOXhE,Dhol Yaara Dhol,Shilpa Rao,37,2009-01-02,0.474,0.0741,107.978,0.0322,0.566,4.31e-05,0.628,248128,-7.883,0.201,1,1
55,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,1YTjiumHvjxYVLs4e4LuR0,Main Yaar Manana Ni Dance Mix,Lata Mangeshkar,37,2017-10-16,0.565,0.116,102.01,0.0813,0.11,3.58e-05,0.795,136743,-9.127,0.375,0,4
56,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2UsYQNgpG5tjcDoq8Yg0Nl,Bhare Naina,Nandini Srikar,58,2011-09-16,0.488,0.152,147.21,0.0465,0.148,0.000641,0.399,360792,-6.984,0.543,0,1
57,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,6WDSt0kRWTNQv4WasZf0rV,Apsraa,Jaani,47,2021-10-15,0.627,0.148,92.6,0.206,0.574,0,0.517,496421,-4.663,0.512,0,2
58,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,66sjnhCLZHrXUJkUls23CX,Charka,Mukhtar Sahota,43,2007-05-04,0.875,0.249,96.611,0.16,0.466,0,0.382,340760,-2.847,0.397,0,11
59,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,43laH34WOZXQLWPkWJQVBX,Kooch Na Karin,Azhar Abbas,49,2018-07-30,0.44,0.0736,92.083,0.0449,0.515,0,0.705,276522,-7.589,0.413,1,2
60,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,01yAxTS7tZ6phyG2TcKyar,Bhij Gayi Kurti,Sky-P,5,2021-05-05,0.332,0.236,176.638,0.0681,0.742,1.82e-05,0.47,118747,-7.053,0.511,0,5
61,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5NGdTLBuEwv6X8wLpJqGal,"Rubaru (From ""Saadi Love Story"")",Amrinder Gill,29,2012-12-11,0.579,0.06,119.882,0.028,0.806,0,0.674,286000,-3.583,0.346,1,2
62,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5eFYClAF0m6zOjH9JeCByt,Challa Mera Jee Dhola,Annie Walia,27,2020-10-28,0.108,0.111,71.943,0.0346,0.974,0,0.542,218333,-13.493,0.225,0,5
